07:50:34.569 [boundedElastic-5] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/test/v2/api-docs,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-test"
07:53:09.000 [boundedElastic-6] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
07:53:15.723 [boundedElastic-2] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
07:53:32.102 [boundedElastic-2] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
07:53:33.072 [boundedElastic-2] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
07:55:07.734 [boundedElastic-6] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
07:55:46.305 [boundedElastic-9] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/scheduler/job,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-scheduler"
07:55:47.467 [boundedElastic-9] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/scheduler/jobLog,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-scheduler"
07:56:37.175 [boundedElastic-11] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
07:57:19.719 [boundedElastic-11] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
08:00:01.366 [boundedElastic-8] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
08:00:18.142 [boundedElastic-7] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/sysFile,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
08:01:22.345 [boundedElastic-6] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
08:03:30.139 [boundedElastic-11] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
08:05:32.202 [boundedElastic-9] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
08:39:25.065 [boundedElastic-24] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/code/v2/api-docs,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-code"
08:39:29.532 [boundedElastic-35] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/ai/v2/api-docs,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-openai"
17:35:12.423 [boundedElastic-14] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
17:35:14.964 [boundedElastic-11] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
17:38:46.154 [boundedElastic-16] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
17:39:44.238 [boundedElastic-8] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
17:42:10.805 [boundedElastic-11] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
17:42:52.389 [boundedElastic-8] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
17:43:02.977 [boundedElastic-8] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
17:45:17.661 [boundedElastic-3] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
17:45:52.549 [boundedElastic-17] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
