14:52:31.393 [reactor-http-nio-3] ERROR c.a.s.g.f.AuthFilter - [unauthorizedResponse,89] - [鉴权异常处理]请求路径:/sys/sysConfig
14:52:31.393 [reactor-http-nio-2] ERROR c.a.s.g.f.AuthFilter - [unauthorizedResponse,89] - [鉴权异常处理]请求路径:/oauth2/user/info
14:52:55.857 [boundedElastic-5] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
14:52:59.531 [boundedElastic-8] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
16:08:38.890 [boundedElastic-2] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/sys/sysConfig,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-sys"
16:08:38.890 [boundedElastic-1] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/oauth2/user/info,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-oauth"
16:08:39.043 [boundedElastic-1] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/oauth2/authorize,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-oauth"
16:08:39.092 [reactor-http-nio-4] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/favicon.ico,异常信息:404 NOT_FOUND
16:12:00.826 [boundedElastic-5] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
16:23:04.117 [boundedElastic-7] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
16:23:14.922 [boundedElastic-7] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
16:23:48.026 [boundedElastic-5] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
16:24:51.684 [boundedElastic-2] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
