02:01:47.516 [main] INFO  c.a.s.s.MfSysApplication - [logStartupProfileInfo,637] - The following 1 profile is active: "dev"
02:01:49.741 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
02:01:49.741 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.70]
02:01:49.900 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
02:01:56.473 [main] INFO  c.a.d.p.DruidDataSource - [init,985] - {dataSource-1,master} inited
02:01:56.474 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [addDataSource,154] - dynamic-datasource - add a datasource named [master] success
02:01:56.475 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [afterPropertiesSet,234] - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
02:01:58.863 [main] INFO  c.a.c.s.SentinelWebMvcConfigurer - [addInterceptors,52] - [Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/**].
02:02:03.157 [main] INFO  c.a.n.c.e.SearchableProperties - [sortPropertySourceDefaultOrder,197] - properties search order:PROPERTIES->JVM->ENV->DEFAULT_SETTING
02:02:03.158 [main] INFO  c.a.n.client.naming - [initNamespaceForNaming,61] - initializer namespace from System Property : null
02:02:03.158 [main] INFO  c.a.n.client.naming - [lambda$initNamespaceForNaming$0,65] - initializer namespace from System Environment :null
02:02:03.158 [main] INFO  c.a.n.client.naming - [lambda$initNamespaceForNaming$1,72] - initializer namespace from System Property :
02:02:03.165 [main] INFO  c.a.n.p.a.s.c.ClientAuthPluginManager - [init,56] - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
02:02:03.165 [main] INFO  c.a.n.p.a.s.c.ClientAuthPluginManager - [init,56] - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
02:02:03.168 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,94] - [RpcClientFactory] create a new rpc client of 212d064e-94a3-4560-b304-9a051f0966dc
02:02:03.169 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [212d064e-94a3-4560-b304-9a051f0966dc] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
02:02:03.169 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [212d064e-94a3-4560-b304-9a051f0966dc] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
02:02:03.170 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [212d064e-94a3-4560-b304-9a051f0966dc] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
02:02:03.170 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [212d064e-94a3-4560-b304-9a051f0966dc] Try to connect to server on start up, server: {serverIp = 'localhost', server main port = 8848}
02:02:03.282 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [212d064e-94a3-4560-b304-9a051f0966dc] Success to connect to server [localhost:8848] on start up, connectionId = 1684605723175_127.0.0.1_59244
02:02:03.282 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [212d064e-94a3-4560-b304-9a051f0966dc] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
02:02:03.282 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [212d064e-94a3-4560-b304-9a051f0966dc] Notify connected event to listeners.
02:02:03.282 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [212d064e-94a3-4560-b304-9a051f0966dc] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$356/486759395
02:02:03.283 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.client.naming - [onConnected,78] - Grpc connection connect
02:02:03.285 [main] INFO  c.a.n.client.naming - [subscribe,167] - [SUBSCRIBE-SERVICE] service:mf-sys, group:DEFAULT_GROUP, clusters:DEFAULT 
02:02:03.294 [main] INFO  c.a.n.client.naming - [isChangedServiceInfo,184] - init new ips(0) service: DEFAULT_GROUP@@mf-sys@@DEFAULT -> []
02:02:03.302 [main] INFO  c.a.n.client.naming - [processServiceInfo,169] - current ips:(0) service: DEFAULT_GROUP@@mf-sys@@DEFAULT -> []
